id,rating,Reviews
209,5,"No big improvement in the 2015 model 10,"
210,5,"A great product that's now even better 8,"
211,5,Honest Kindle Review
212,5,"No big improvement in the 2015 model 10,"
213,5,"A great product that's now even better 8,"
214,5,"Simply gorgeous 3,"
215,3,"I wanted to like this tablet...ended up somewhat disappointed 3,"
216,5,I am delighted.and should get several years out of this Big tablet esp w screen mirror . now google play is on it. !!
217,5,"Keeps Getting Better, Especially for Comic Readers 2,"
218,5,Great upgrade for aesthetics
219,5,The Extra Touch
220,4,Great case with minor design flaws
221,5,"Major fan, didn't buy this because of protection, ..."
222,3,Not all fabric or cloth.
223,5,She loves it
224,5,Great pop of color for a bland looking product!
225,5,Great look for Dot.
226,4,"After considering the price to purchase 3 of them and checking out the apps my husband and I were pretty sure we would purchase 1,"
227,1,"Freetime makes me angry. So, so angry. 3,"
228,3,"Great value, OK performance, and a little shady price-gouging on SD cards. 2,"
229,5,"Simply gorgeous 3,"
230,3,"I wanted to like this tablet...ended up somewhat disappointed 3,"
231,5,I am delighted.and should get several years out of this Big tablet esp w screen mirror . now google play is on it. !!
232,5,"Keeps Getting Better, Especially for Comic Readers 2,"
233,4,"The best Echo yet, especially if you have elderly parents"
234,4,Maybe I was expecting more...
235,5,Best Echo available!
236,3,Maybe I was expecting more...
237,3,Maybe I was expecting more
238,5,Yeehaw
239,5,Day 1 review: I liked my Echo. I like my Echo Show even more.
240,5,The resolution is just as good on the 10
241,3,Disappointed
242,5,Excellent refurbished HD 10 Good price
243,5,WHY BUY NEW.... REFURBISHED IS TOPS!!!
244,3,Slowest Fire Sold
245,3,I've had the Kindle Fire HDX 7 inch tablet for ...
246,3,Fire Ten OK
247,5,Replacing kindle hdx 7
248,4,Love my Kindles!
249,5,Wonderfull
250,5,Great beach reader!
251,5,Five Stars
252,1,Don't buy a refurbished Kindle!
253,4,Looks New
254,1,I was pretty bummed out that a refurbished product of their own ...
255,5,"The state of the art e-ink reader but is it worth the money to upgrade 13,"
256,5,"I was very happy with my Paperwhite and would not have bought this ... 5,"
257,3,"Almost like Paperwhite v1 all over again 5,"
258,5,Honest Kindle Review
259,5,"No big improvement in the 2015 model 10,"
260,5,"A great product that's now even better 8,"
261,5,Honest Kindle Review
262,5,"No big improvement in the 2015 model 10,"
263,5,"A great product that's now even better 8,"
264,5,GREAT update for those who use their Kindle a lot!
265,5,Ive loved both my Paperwhite and Voyage is the Oasis worth the additional cost
266,2,Easy to read and very light but was frustrated with a few things...
267,5,"EXCELLENT tablet at a reasonable price. The Fire HDX is setting the bar for other tablets! 4,"
268,3,"Great product, NEEDS A SOFTWARE UPDATE FOR A VERY ANNOYING PROBLEM. 2,"
269,5,"Quality Tablet and Excellent Video / Screen Display 1,"
270,5,"Ive loved both my Paperwhite and Voyage is the Oasis worth the additional cost 2,"
271,5,"A superb e-ink reader, but is it worth the money 1,"
272,3,"I sent this one back / And if you eat- or couch-read / The Voyage works best 2,"
273,5,The best Kindle ever... and I should know I've tried them all.
274,5,"LOVE LOVE LOVE!!!!! SO HAPPY!! 1,"
275,5,"Know What You Are Buying!!!!! (redux) 2,"
276,5,"I love this little e-reader 1,"
277,5,To all the people saying it's too dark. It's ...
278,5,Perfect for academics!
279,5,Love the new Kindle 8!
280,5,"The state of the art e-ink reader but is it worth the money to upgrade 13,"
281,5,"I was very happy with my Paperwhite and would not have bought this ... 5,"
282,3,"Almost like Paperwhite v1 all over again 5,"
283,5,Updated 6/6/17 they're great! have several now
284,5,My refurb is like new. I love the Echo Dots!
285,5,Some nice surprises
286,4,Worth it.
287,5,Great little assistant
288,5,This is a nice compliment to my echo
289,,"I like it Amazon...But this is IMPORTANT 5,860 people found this helpful. Was this review helpful to you Yes No An Amazon.com official commented on this review"
290,5,"A review from a non-techie 11,064 people found this helpful. Was this review helpful to you Yes No"
291,,Works great with one critical flaw. (significantly improved)
292,,A review from a non-techie
293,,I like it Amazon...But this is IMPORTANTAn Amazon.com official commented on this review
294,,This box is a GAME CHANGER for on demand content! Amazon knocked it out of the park. Refreshed UPDATED with Tips! and HBO GO!
295,,"Works great with one critical flaw. (significantly improved) 7,375 of 7,842 people found this helpful. Was this review helpful to you Yes No"
296,4,"I like it Amazon...But this is IMPORTANT 5,861 people found this helpful. Was this review helpful to you Yes No An Amazon.com official commented on this review"
297,,"A review from a non-techie 11,058 people found this helpful. Was this review helpful to you Yes No"
298,,"A review from a non-techie 11,064 people found this helpful. Was this review helpful to you Yes No"
299,4,"I like it Amazon...But this is IMPORTANT 5,863 people found this helpful. Was this review helpful to you Yes No An Amazon.com official commented on this review"
300,,"I like it Amazon...But this is IMPORTANT 5,859 people found this helpful. Was this review helpful to you Yes No An Amazon.com official commented on this review"
301,,"A review from a non-techie 11,059 people found this helpful. Was this review helpful to you Yes No"
302,,"A review from a non-techie 11,046 of 11,520 people found this helpful. Was this review helpful to you Yes No"
303,,"A review from a non-techie 11,062 people found this helpful. Was this review helpful to you Yes No"
304,,"This box is a GAME CHANGER for on demand content! Amazon knocked it out of the park. Refreshed UPDATED with Tips! and HBO GO! 26,759 people found this helpful. Was this review helpful to you Yes No"
305,,"Works great with one critical flaw. (significantly improved) 7,380 people found this helpful. Was this review helpful to you Yes No"
306,,"A review from a non-techie 11,063 people found this helpful. Was this review helpful to you Yes No"
307,4,"I like it Amazon...But this is IMPORTANT 5,862 people found this helpful. Was this review helpful to you Yes No An Amazon.com official commented on this review"
308,5,"This box is a GAME CHANGER for on demand content! Amazon knocked it out of the park. Refreshed UPDATED with Tips! and HBO GO! 26,764 people found this helpful. Was this review helpful to you Yes No"
309,,"This box is a GAME CHANGER for on demand content! Amazon knocked it out of the park. Refreshed UPDATED with Tips! and HBO GO! 26,752 people found this helpful. Was this review helpful to you Yes No"
310,,"A review from a non-techie 11,050 of 11,524 people found this helpful. Was this review helpful to you Yes No"
311,,"A review from a non-techie 11,061 people found this helpful. Was this review helpful to you Yes No"
312,,"I like it Amazon...But this is IMPORTANT 5,861 people found this helpful. Was this review helpful to you Yes No An Amazon.com official commented on this review"
313,5,"This box is a GAME CHANGER for on demand content! Amazon knocked it out of the park. Refreshed UPDATED with Tips! and HBO GO! 26,759 people found this helpful. Was this review helpful to you Yes No"
314,4,"Works great with one critical flaw. (significantly improved) 7,382 people found this helpful. Was this review helpful to you Yes No"
315,5,"This box is a GAME CHANGER for on demand content! Amazon knocked it out of the park. Refreshed UPDATED with Tips! and HBO GO! 26,762 people found this helpful. Was this review helpful to you Yes No"
316,5,"A review from a non-techie 11,065 people found this helpful. Was this review helpful to you Yes No"
317,,"Works great with one critical flaw. (significantly improved) 7,377 people found this helpful. Was this review helpful to you Yes No"
318,,"This box is a GAME CHANGER for on demand content! Amazon knocked it out of the park. Refreshed UPDATED with Tips! and HBO GO! 26,748 of 27,899 people found this helpful. Was this review helpful to you Yes No"
319,,"Works great with one critical flaw. (significantly improved) 7,379 people found this helpful. Was this review helpful to you Yes No"
320,4,"Works great with one critical flaw. (significantly improved) 7,380 people found this helpful. Was this review helpful to you Yes No"
321,,"This box is a GAME CHANGER for on demand content! Amazon knocked it out of the park. Refreshed UPDATED with Tips! and HBO GO! 26,757 people found this helpful. Was this review helpful to you Yes No"
322,,"I like it Amazon...But this is IMPORTANT 5,856 of 6,304 people found this helpful. Was this review helpful to you Yes No An Amazon.com official commented on this review"
323,5,"This box is a GAME CHANGER for on demand content! Amazon knocked it out of the park. Refreshed UPDATED with Tips! and HBO GO! 26,760 people found this helpful. Was this review helpful to you Yes No"
324,,"A review from a non-techie 11,054 of 11,528 people found this helpful. Was this review helpful to you Yes No"
325,,"This box is a GAME CHANGER for on demand content! Amazon knocked it out of the park. Refreshed UPDATED with Tips! and HBO GO! 26,724 of 27,874 people found this helpful. Was this review helpful to you Yes No"
326,,"This box is a GAME CHANGER for on demand content! Amazon knocked it out of the park. Refreshed UPDATED with Tips! and HBO GO! 26,732 of 27,882 people found this helpful. Was this review helpful to you Yes No"
327,,"I like it Amazon...But this is IMPORTANT 5,854 of 6,302 people found this helpful. Was this review helpful to you Yes No An Amazon.com official commented on this review"
328,,"A review from a non-techie 11,044 of 11,518 people found this helpful. Was this review helpful to you Yes No"
329,,"This box is a GAME CHANGER for on demand content! Amazon knocked it out of the park. Refreshed UPDATED with Tips! and HBO GO! 26,755 people found this helpful. Was this review helpful to you Yes No"
330,,"I like it Amazon...But this is IMPORTANT 5,859 of 6,307 people found this helpful. Was this review helpful to you Yes No An Amazon.com official commented on this review"
331,,"This box is a GAME CHANGER for on demand content! Amazon knocked it out of the park. Refreshed UPDATED with Tips! and HBO GO! 26,723 of 27,873 people found this helpful. Was this review helpful to you Yes No"
332,,"Works great with one critical flaw. (significantly improved) 7,377 of 7,844 people found this helpful. Was this review helpful to you Yes No"
333,,"No universal search, no way to search Prime FREE content, no headphone jack, no HBOGO, no volume control, adding apps is hard."
334,,Amazon Prime on TV
335,5,So glad I gave this a try...
336,,This set up is the shizzle
337,,can not get it to work.  I have dish not sure if that is the problem
338,5,A review from a non-techie
339,5,I love it
340,,Pleased with the purchase
341,,My first week with the Fire TV
342,,"Good for what it is, but not the ultimate solution."
343,5,This box is a GAME CHANGER for on demand content! Amazon knocked it out of the park. Refreshed UPDATED with Tips! and HBO GO!
344,,A powerful new streaming box that challenges the competition!
345,,Sent mine back...
346,2,"I am not pleased, every movie I select is a pay for ..."
347,1,Outdated Netflix
348,1,Customer Service--I'm Stunned at How Bad it Was
349,,"Good start but, needs work"
350,3,Fire TV vs. Everything Else Streaming and Gaming
351,,Amazon Fire TV - A must have!!!!
352,,"great and very fast, but..."
353,,Easy To Install and so convenient
354,,I love it
355,5,Fantastic Right Out of The Box
356,,bought one from bestbuy and boy have i been impressed
357,,What about the AMAZON CLOUD PLAYER????
358,5,Amazing unit Easy to set up just remember to ...
359,,"Amazon, enable the USB port for External Storage!!"
360,,"Initial Review, and yes I actually own the item. ** Updated 04/07/14 **"
361,,"Issues setting up basic apps, audio problems, VERY centered around Amazon VOD."
362,4,Superior Amazon Customer Service Support was the deciding factor for me....
363,,Pretty Good So Far
364,,great box for XBMC
365,,OMG
366,,VIDEO REVIEW / Easily the best of its kind but could have been a little better
367,4,Works great with one critical flaw. (significantly improved)
368,,Example is difficult to find You Tube.
369,,Apps
370,,Amazon Fire TV
371,4,Works great with one critical flaw. (significantly improved)
372,5,Little Black Box Of Awesomeness
373,,Prime video and Netflix!
374,,Some Hulu Plus shows are not available...
375,,So much more than I expected!
376,,I LOVE THE FIRE TV.  IT IS JUST FANTASTIC.
377,,Could not be happier
378,,Amazon Prime Membership just got better with FireTV
379,,Amazon Fire is a great choice
380,,Excellent!! Love It!!
381,,Amazon Fire TV
382,4,"Great device with some issues, but overall great device."
383,5,I'd love to see Amazon take a netflix model for a ...
384,,This box is a GAME CHANGER for on demand content! Amazon knocked it out of the park. Refreshed & UPDATED with Tips!
385,1,Device unusable for playing video on Netflix app
386,,Awesome!
387,,Works great with one critical flaw.
388,5,This box is a GAME CHANGER for on demand content Amazon knocked it out of the park. Refreshed UPDATED with Tips
389,1,No Way to Search or Browse Prime Movies Only FAIL
390,,Excellent Streaming Right Out of the Box
391,5,Small and yet sooo big.
392,5,A review from a non-techie
393,,Disclaimer: voice search & instant play is it only works for Amazon Prime videos
394,,A couple of downsides
395,,Improvements
396,,Better than Apple TV & Roku
397,,No Way to Search or Browse Prime Movies Only = FAIL
398,,It not work
399,,"Reviewed after a thorough hands on, I'm Happy with it..."
400,,excellent device
401,,"Got it, love it."
402,,"It works great,nice picture no problem hooking it up worked right away, my son let me try the Apple it kept stalling right"
403,,"AWESOME Media box, BUT..."
404,5,Fire TV (Apple TV + ChromeCast)
405,,A review from a non-techie
406,5,So good I bought two
407,,its ok
408,,As compared to Roku for Amazon Streaming....
409,,No way to just see prime stuff
410,,Great for streaming
411,,It's Ok
412,,Falls Short
413,,Disconnects from WIFI but the features are great.
414,4,I like it Amazon...But this is IMPORTANT
415,,Fire TV vs. Everything Else Streaming and Gaming
416,5,so far we are very happy - especially kids as they have all their favorite
417,,2nd Best Purchase from Amazon
418,5,Finally...the right streaming device
419,,Unique place in the market. Perfect for the Amazon ecosystem.
420,,It's actually great minus one thing.
421,5,I love my Fire TV
422,,"From a Roku 3 owner, and now Fire TV..."
423,,I like it Amazon...But this is IMPORTANT
424,,great device
425,,NOT THAT GREAT!
426,,AMAZING!
427,5,"From a Roku 3 owner, and now Fire TV..."
428,,Terrific !!
429,,Amwsome Streaming Device
430,,A good initial release. But fails on the promise
431,5,Best TV Streaming Box for Everyone - From Grandma to Your Computer Science Professor
432,4,amazon billing deceptive practices
433,,it's good..........BUT!!!!
434,,Very capable set-top-box
435,,AMAZON FIRE TV
436,,great way to watch movies
